LDAP-Display-Name	msDS-IntId	Attribute-ID	
lDAPAdminLimits	0	590667	
lDAPDisplayName	0	131532	
lDAPIPDenyList	0	590668	
legacyExchangeDN	0	590479	
linkID	0	131122	
linkTrackSecret	0	590093	
lmPwdHistory	0	589984	
localPolicyFlags	0	589880	
localPolicyReference	0	590281	
localeID	0	589882	
l	0	7	
localizedDescription	0	590641	
localizationDisplayId	0	591177	
location	0	590046	
lockOutObservationWindow	0	589885	
lockoutDuration	0	589884	
lockoutThreshold	0	589897	
lockoutTime	0	590486	
thumbnailLogo	0	1441828	
logonCount	0	589993	
logonHours	0	589888	
logonWorkstation	0	589889	
lSACreationTime	0	589890	
lSAModifiedCount	0	589891	
machineArchitecture	0	589892	
machinePasswordChangeInterval	0	590344	
machineRole	0	589895	
machineWidePolicy	0	590283	
managedBy	0	590477	
managedObjects	0	590478	
manager	0	1376266	
mAPIID	0	131121	
marshalledInterface	0	589896	
masteredBy	0	591233	
maxPwdAge	0	589898	
maxRenewAge	0	589899	
maxStorage	0	589900	
maxTicketAge	0	589901	
mayContain	0	131097	
meetingAdvertiseScope	0	590406	
meetingApplication	0	590397	
meetingBandwidth	0	590413	
meetingBlob	0	590414	
meetingContactInfo	0	590402	
meetingDescription	0	590391	
meetingEndTime	0	590412	
meetingID	0	590389	
meetingIP	0	590404	
meetingIsEncrypted	0	590409	
meetingKeyword	0	590392	
meetingLanguage	0	590398	
meetingLocation	0	590393	
meetingMaxParticipants	0	590400	
meetingName	0	590390	
meetingOriginator	0	590401	
meetingOwner	0	590403	
meetingProtocol	0	590394	
meetingRating	0	590408	
meetingRecurrence	0	590410	
meetingScope	0	590405	
meetingStartTime	0	590411	
meetingType	0	590395	
meetingURL	0	590407	
member	0	31	
mhsORAddress	0	590474	
minPwdAge	0	589902	
minPwdLength	0	589903	
minTicketAge	0	589904	
modifiedCount	0	589992	
modifiedCountAtLastProm	0	589905	
modifyTimeStamp	0	1638402	
moniker	0	589906	
monikerDisplayName	0	589907	
moveTreeState	0	591129	
msCOM-DefaultPartitionLink	0	591251	
msCOM-ObjectId	0	591252	
msCOM-PartitionLink	0	591247	
msCOM-PartitionSetLink	0	591248	
msCOM-UserLink	0	591249	
msCOM-UserPartitionSetLink	0	591250	
msDRM-IdentityCertificate	0	591667	
msDS-AdditionalDnsHostName	0	591541	
msDS-AdditionalSamAccountName	0	591542	
msDS-AllUsersTrustQuota	0	591613	
msDS-AllowedDNSSuffixes	0	591534	
msDS-AllowedToDelegateTo	0	591611	
msDS-Auxiliary-Classes	0	591282	
msDS-Approx-Immed-Subordinates	0	591493	
msDS-AuthenticatedAtDC	0	591782	
msDS-AuthenticatedToAccountlist	0	591781	
msDS-AzApplicationData	0	591643	
msDS-AzApplicationName	0	591622	
msDS-AzApplicationVersion	0	591641	
msDS-AzBizRule	0	591625	
msDS-AzBizRuleLanguage	0	591626	
msDS-AzClassId	0	591640	
msDS-AzDomainTimeout	0	591619	
msDS-AzGenerateAudits	0	591629	
msDS-AzLastImportedBizRulePath	0	591627	
msDS-AzLDAPQuery	0	591616	
msDS-AzMajorVersion	0	591648	
msDS-AzMinorVersion	0	591649	
msDS-AzOperationID	0	591624	
msDS-AzScopeName	0	591623	
msDS-AzScriptEngineCacheMax	0	591620	
msDS-AzScriptTimeout	0	591621	
msDS-AzTaskIsRoleDefinition	0	591642	
msDS-AzObjectGuid	0	591773	
msDS-AzGenericData	0	591774	
msDS-Behavior-Version	0	591283	
msDS-ByteArray	0	591655	
msDS-Cached-Membership	0	591265	
msDS-Cached-Membership-Time-Stamp	0	591266	
mS-DS-ConsistencyGuid	0	591184	
mS-DS-ConsistencyChildCount	0	591185	
mS-DS-CreatorSID	0	591234	
msDS-DateTime	0	591656	
msDS-DefaultQuota	0	591670	
msDS-DeletedObjectLifetime	0	591892	
msDS-DnsRootAlias	0	591543	
msDS-EnabledFeature	0	591885	
msDS-EnabledFeatureBL	0	591893	
msDS-Entry-Time-To-Die	0	591446	
msDS-ExecuteScriptPassword	0	591607	
msDS-ExternalKey	0	591657	
msDS-ExternalStore	0	591658	
msDS-OptionalFeatureGUID	0	591886	
msDS-FilterContainers	0	591527	
msDS-HasInstantiatedNCs	0	591533	
msDS-HasDomainNCs	0	591644	
msDS-hasMasterNCs	0	591660	
msDS-HostServiceAccount	0	591880	
msDS-HostServiceAccountBL	0	591881	
msDS-Integer	0	591659	
msDS-IntId	0	591540	
msDS-isGC	0	591783	
msDS-isRODC	0	591784	
msDS-LastKnownRDN	0	591891	
msDS-KeyVersionNumber	0	591606	
msDS-LogonTimeSyncInterval	0	591608	
msDs-masteredBy	0	591661	
msDS-MaximumPasswordAge	0	591835	
msDS-MinimumPasswordAge	0	591836	
msDS-MinimumPasswordLength	0	591837	
msDS-OIDToGroupLink	0	591875	
msDS-OIDToGroupLinkBl	0	591876	
msDS-PasswordHistoryLength	0	591838	
msDS-PasswordComplexityEnabled	0	591839	
msDS-PasswordReversibleEncryptionEnabled	0	591840	
msDS-LocalEffectiveDeletionTime	0	591883	
msDS-LocalEffectiveRecycleTime	0	591884	
msDS-LockoutObservationWindow	0	591841	
msDS-LockoutDuration	0	591842	
msDS-LockoutThreshold	0	591843	
msDS-PSOAppliesTo	0	591844	
msDS-PSOApplied	0	591845	
msDS-RequiredDomainBehaviorVersion	0	591890	
msDS-RequiredForestBehaviorVersion	0	591903	
msDS-ResultantPSO	0	591846	
msDS-PasswordSettingsPrecedence	0	591847	
msDs-MaxValues	0	591666	
msDS-MembersForAzRole	0	591630	
msDS-MembersForAzRoleBL	0	591631	
msDS-NcType	0	591848	
msDS-NonMembers	0	591617	
msDS-NonMembersBL	0	591618	
msDS-PhoneticFirstName	0	591766	
msDS-PhoneticLastName	0	591767	
msDS-PhoneticDepartment	0	591768	
msDS-PhoneticCompanyName	0	591769	
msDS-PhoneticDisplayName	0	591770	
msDS-HABSeniorityIndex	0	591821	
msDS-PromotionSettings	0	591786	
msDS-SiteName	0	591785	
msDS-SupportedEncryptionTypes	0	591787	
msDS-TrustForestTrustInfo	0	591526	
msDS-TombstoneQuotaFactor	0	591671	
msDS-TopQuotaUsage	0	591674	
ms-DS-MachineAccountQuota	0	591235	
msDS-ObjectReference	0	591664	
msDS-ObjectReferenceBL	0	591665	
